1a,Univerzitet  Singidunum  Novi Sad,Novi Sad Danijelova 11
1b,FTN Novi Sad,"Novi Sad, Trg Dositeja Obradovica 6"
1c,Univergzitet u Beogradu,Beograd
1v,Univerzitet umetnosti u Beogradu,Beograd
1n,Univerzitet u Novom Sadu,Novi Sad
1m,Univerzitet u Nišu,Nis
1l,Univerzitet u Kragujevcu,Kragujevac
1j,Kriminalističko-policijska akademija,"Beograd, Zemun, Cara Dušana 196"
1h,"Univerzitet odbrane, Vojna akademija","Beograd, Pavla Jurišića Šturma 33"
2g,"Univerzitet odbrane, Medicinski fakultet Vojnomedicinske akademije","Beograd, Crnotravska 17"
